"TX_RESPOSTAS_CH";"TX_GABARITO_CH"
"DCABCACADDADECDEBAABBCECAAEBDBDAAAAEBBCDABECA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABEEDAECAEECBECEEBBDDAAADDBBCAECEDBBCDDBBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"EAACBAAECDBDECEBADABADEBEAAEDBCDABCADEDEDDDBA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BBAEABABDBADCEEBEBABDADBAEEDDBCEACBAEDBBAECDB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DCABBDDAECAEBDCDCEBBCDDAACEDDBCABBEBCDADCCEBC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BEDDACEBADAECCEADAEBACBEACBECAECACDACABAECCDC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CDABAACCBEADCBABBEABBDECBCAEDACACA*BAACBDBDBA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"ACABCADEDBABEDDCADBBCCEDAACBDECABCEADBCDBBEBC";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"BEABEAEADCBADACBDBABEBA.ACDBEBDEDBCACDABAECCB";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"DEABCEDADBADECEEBAABCDDEABDBCECACDBDBBDDBADCE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEABCEDAEBAEEBBECEEBCDDBAABDCBDAEACCBBCDCBECE";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"AEACCBDADCADCBEE.DAACEDCADECBECBDCEADAACEEDAD";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
"CEACEDAECEADEABCAEABECBBBCBCCEDEBACEBAEDBCBCA";"DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA"
